Territory,Restaurant ID,Order ID,Order Time,Order Status,Item Name,Customizations,Special Instructions,Item Price,Order Price,Currency
p,28d5a6a9-f753-4a66-9cf6-8f55d7c5a1f9,90eb0e43-cf09-45fa-b5b2-b27ce03161ca,2021-01-23 02:20:35 +0000 UTC,completed,Egg Drop Soup,Large,,2.49,28.25,USD
p,28d5a6a9-f753-4a66-9cf6-8f55d7c5a1f9,90eb0e43-cf09-45fa-b5b2-b27ce03161ca,2021-01-23 02:20:35 +0000 UTC,completed,Spicy Szechuan,"Chicken, Steamed Rice",Extra spicy,8.99,28.25,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,999afaae-082d-4a83-8cd5-6b65970e44f8,2021-01-21 00:02:03 +0000 UTC,completed,Chicken Platter,"Regular, No Pita, Chopped Onions",,10.95,28.22,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,999afaae-082d-4a83-8cd5-6b65970e44f8,2021-01-21 00:02:03 +0000 UTC,completed,Chicken Platter,"Regular, No Pita, Chopped Onions",,10.95,28.22,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,7e73d157-66b9-492f-a3cf-d6a8acae113d,2021-01-15 22:25:53 +0000 UTC,completed,Chicken Platter,"Regular, No Pita, Chopped Onions",,10.95,27.02,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,7e73d157-66b9-492f-a3cf-d6a8acae113d,2021-01-15 22:25:53 +0000 UTC,completed,Chicken Platter,"Regular, No Pita, Chopped Onions",,10.95,27.02,USD
p,c0e74eb2-f68b-431b-abbc-ac77b4776bd7,fb54854f-5745-43c8-916d-9f8ed3be523c,2021-01-14 23:09:36 +0000 UTC,completed,Spicy Deluxe Sandwich,"Chick-fil-A® Sauce, Spicy Deluxe Sandwich w/ Pepper Jack",,6.1,16.54,USD
p,c0e74eb2-f68b-431b-abbc-ac77b4776bd7,fb54854f-5745-43c8-916d-9f8ed3be523c,2021-01-14 23:09:36 +0000 UTC,completed,Chick-fil-A® Nuggets,"Chick-fil-A® Sauce, 4 ct Chick-fil-A® Nuggets, 8 ct Chick-fil-A® Nuggets",,5,16.54,USD
p,c0e74eb2-f68b-431b-abbc-ac77b4776bd7,fb54854f-5745-43c8-916d-9f8ed3be523c,2021-01-14 23:09:36 +0000 UTC,completed,Chicken Noodle Soup,"Saltines, Cup of Chicken Noodle Soup",,3.9,16.54,USD
p,2b6d087a-470a-4ec9-8329-b0cdffbc1b3a,e390b27a-3987-49f5-9453-acd63c80d4fb,2021-01-14 01:07:03 +0000 UTC,completed,Chicken Platter,"Regular, No Pita, Chopped Onions",,10.95,16.89,USD
p,7ec38752-250a-4cb4-b1b0-f442016a629f,a7c9a0f9-ed18-4520-9030-9222bab9231d,2021-01-13 01:30:24 +0000 UTC,completed,"Turkey Bacon Ranch ™, Medium","MD Wheat Bread, Side Pickle, Cheddar, Bacon, Turkey, Lettuce, Onion, Tomato, Mayo,  Peppercorn Ranch Dressing ",,9.9,29.51,USD
p,7ec38752-250a-4cb4-b1b0-f442016a629f,a7c9a0f9-ed18-4520-9030-9222bab9231d,2021-01-13 01:30:24 +0000 UTC,completed,"Turkey Bacon Ranch ™, Medium","MD White Bread, Side Pickle, Cheddar, Bacon, Turkey, Lettuce, Onion, Tomato, Mayo,  Peppercorn Ranch Dressing ",,9.9,29.51,USD
p,7ec38752-250a-4cb4-b1b0-f442016a629f,a7c9a0f9-ed18-4520-9030-9222bab9231d,2021-01-13 01:30:24 +0000 UTC,completed,"Soups, Bowl of Loaded Potato",,,5.85,29.51,USD
p,c0e74eb2-f68b-431b-abbc-ac77b4776bd7,63e35191-422f-4a13-8649-9c5b5a59339a,2021-01-09 02:35:33 +0000 UTC,completed,Chicken Noodle Soup,"Saltines, Cup of Chicken Noodle Soup",,3.9,18.83,USD
